
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

KOHAT,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),PK-90
KOHAT,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),PK-91
KOHAT,HANGU (NA-33),KOHAT,KHYBER PAKHTUNKHWA,HANGU (NA-33),PK-92
KOHAT,HANGU/FR KOHAT (NA-33),KOHAT,KHYBER PAKHTUNKHWA,HANGU/FR KOHAT (NA-33),PK-93
KOHAT,HANGU/FR KOHAT (NA-33),KOHAT,KHYBER PAKHTUNKHWA,HANGU/FR KOHAT (NA-33),PK-94
MALAKAND,MOHMAND (NA-34),MALAKAND,KHYBER PAKHTUNKHWA,MOHMAND (NA-34),PK-95
MALAKAND,MOHMAND (NA-34),MALAKAND,KHYBER PAKHTUNKHWA,MOHMAND (NA-34),PK-96
MALAKAND,MOHMAND (NA-34),MALAKAND,KHYBER PAKHTUNKHWA,MOHMAND (NA-34),PK-97
BANNU,BANNU/FR BANNU (NA-35),BANNU,KHYBER PAKHTUNKHWA,BANNU/FR BANNU (NA-35),PK-98
BANNU,BANNU/FR BANNU (NA-35),BANNU,KHYBER PAKHTUNKHWA,BANNU/FR BANNU (NA-35),PK-99
BANNU,BANNU/FR BANNU (NA-35),BANNU,KHYBER PAKHTUNKHWA,BANNU/FR BANNU (NA-35),PK-100
BANNU,BANNU/FR BANNU (NA-35),BANNU,KHYBER PAKHTUNKHWA,BANNU/FR BANNU (NA-35),PK-101
LAKKI MARWAT,LAKKI MARWAT (NA-36),BANNU,KHYBER PAKHTUNKHWA,LAKKI MARWAT (NA-36),PK-102
LAKKI MARWAT,LAKKI MARWAT (NA-36),BANNU,KHYBER PAKHTUNKHWA,LAKKI MARWAT (NA-36),PK-103
LAKKI MARWAT,LAKKI MARWAT (NA-36),BANNU,KHYBER PAKHTUNKHWA,LAKKI MARWAT (NA-36),PK-104
KURRAM,KURRAM (NA-37),KOHAT,KHYBER PAKHTUNKHWA,KURRAM (NA-37),PK-105
KURRAM,KURRAM (NA-37),KOHAT,KHYBER PAKHTUNKHWA,KURRAM (NA-37),PK-106
KURRAM,KURRAM (NA-37),KOHAT,KHYBER PAKHTUNKHWA,KURRAM (NA-37),PK-107
ORAKZAI,ORAKZAI (NA-38),KOHAT,KHYBER PAKHTUNKHWA,ORAKZAI (NA-38),PK-108
NORTH WAZIRISTAN,NORTH WAZIRISTAN (NA-39),BANNU,KHYBER PAKHTUNKHWA,NORTH WAZIRISTAN (NA-39),PK-109
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN (NA-40),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,SOUTH WAZIRISTAN (NA-40),PK-110
DERA ISMAIL KHAN,SOUTH WAZIRISTAN/D.I. KHAN (NA-40),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,SOUTH WAZIRISTAN/D.I. KHAN (NA-40),PK-111
TANK,TANK (NA-41),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,TANK (NA-41),PK-112
DERA ISMAIL KHAN,DERA ISMAIL KHAN (NA-42),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN (NA-42),PK-113
DERA ISMAIL KHAN,DERA ISMAIL KHAN (NA-43),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN (NA-43),PK-114
DERA ISMAIL KHAN,DERA ISMAIL KHAN/FR D.I. KHAN (NA-44),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN/FR D.I. KHAN (NA-44),PK-115
DERA ISMAIL KHAN,DERA ISMAIL KHAN/FR D.I. KHAN (NA-44),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN/FR D.I. KHAN (NA-44),PK-116
DERA ISMAIL KHAN,DERA ISMAIL KHAN (NA-45),DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN (NA-45),PK-117

#ISLAMABAD
ISLAMABAD,ISLAMABAD-I,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,ISLAMABAD-I (NA-46),0
